,doi
0,10.1001/jama.1884.02390270025009
1,10.1001/jama.1884.02390300022007
2,10.1001/jama.1884.02390420019003
3,10.1001/jama.1884.02390550025010
4,10.1001/jama.1884.02390650020003
5,10.1001/jama.1884.02390720016004
6,10.1001/jama.1884.02390730017004
7,10.1001/jama.1885.02391030007001
8,10.1001/jama.1885.02391060001001
9,10.1001/jama.1885.02391060017006
10,10.1001/jama.1885.02391100026008
11,10.1001/jama.1885.02391150004002
12,10.1001/jama.1886.04250010093001
13,10.1001/jama.1886.04250080033002
14,10.1001/jama.1886.04250090029001
15,10.1001/jama.1886.04250100123005
16,10.1001/jama.1887.02391280026011
17,10.1001/jama.1887.02391320027009
18,10.1001/jama.1887.02391350004002
19,10.1001/jama.1887.02391380027011
20,10.1001/jama.1887.02391390016005
21,10.1001/jama.1887.02391410013002
22,10.1001/jama.1887.02391460015005
23,10.1001/jama.1887.04360030025008
24,10.1001/jama.1887.02400020016003
25,10.1001/jama.1887.02400100027008
26,10.1001/jama.1887.02400140021005
27,10.1001/jama.1887.02400200020007
28,10.1001/jama.1887.02400240006001
29,10.1001/jama.1887.02400250027009
30,10.1001/jama.1888.02400280010003
31,10.1001/jama.1888.02400400021004
32,10.1001/jama.1888.02400430011001
33,10.1001/jama.1888.02400440020008
34,10.1001/jama.1888.02400510022006
35,10.1001/jama.1888.02400570022004
36,10.1001/jama.1888.02400610008001
37,10.1001/jama.1888.02400670033009
38,10.1001/jama.1888.02400670034010
39,10.1001/jama.1888.02400710015001
40,10.1001/jama.1888.02400710022007
41,10.1001/jama.1889.02400780031009
42,10.1001/jama.1889.02400890007001
43,10.1001/jama.1889.02401000013001
44,10.1001/jama.1889.04440040020006
45,10.1001/jama.1889.02401090018002
46,10.1001/jama.1889.02401170016002
47,10.1001/jama.1890.02410030020003
48,10.1001/jama.1890.02410110025007
49,10.1001/jama.1890.02410150037012
50,10.1001/jama.1890.02410160001001
51,10.1001/jama.1890.02410160033010
52,10.1001/jama.1890.02410180036011
53,10.1001/jama.1890.02410250013001
54,10.1001/jama.1890.02410250033012
55,10.1001/jama.1890.02410270020001
56,10.1001/jama.1890.02410310021002
57,10.1001/jama.1890.02410420016002
58,10.1001/jama.1890.02410430035014
59,10.1001/jama.1890.02410470009001
60,10.1001/jama.1890.02410480025007
61,10.1001/jama.1890.02410490023005
62,10.1001/jama.1891.02410570008002
63,10.1001/jama.1891.02410610016002
64,10.1001/jama.1891.02410650020004
65,10.1001/jama.1891.02410750001001
66,10.1001/jama.1891.02410800023002
67,10.1001/jama.1891.02410830021001
68,10.1001/jama.1891.02410840033008
69,10.1001/jama.1891.02410900032009
70,10.1001/jama.1891.02410930006001
71,10.1001/jama.1891.02411000038006
72,10.1001/jama.1892.02411130025009
73,10.1001/jama.1892.02411180026009
74,10.1001/jama.1892.02411190027010
75,10.1001/jama.1892.02420010020001
76,10.1001/jama.1892.02420090023006
77,10.1001/jama.1892.02420230015001
78,10.1001/jama.1893.02420280025001
79,10.1001/jama.1893.02420320027008
80,10.1001/jama.1893.02420330025007
81,10.1001/jama.1893.02420390023003
82,10.1001/jama.1893.02420410006001
83,10.1001/jama.1893.02420410023006
84,10.1001/jama.1893.02420440024011
85,10.1001/jama.1893.02420590028007
86,10.1001/jama.1893.02420590030011
87,10.1001/jama.1894.02420810028010
88,10.1001/jama.1894.02420850017002
89,10.1001/jama.1894.02420850020002
90,10.1001/jama.1894.02420890039022
91,10.1001/jama.1894.02420930002002
92,10.1001/jama.1894.02420940012002
93,10.1001/jama.1894.02421020017002
94,10.1001/jama.1894.02421050003002
95,10.1001/jama.1894.02421050006002
96,10.1001/jama.1894.02421080008001
97,10.1001/jama.1894.02421120030005
98,10.1001/jama.1894.02421180010001
99,10.1001/jama.1894.02421280033022
100,10. doi: 10.1001/jama.1894.02421290023001
101,10.1001/jama.1894.02421310018001
102,10.1001/jama.1895.02430010050014
103,10.1001/jama.1895.02430090017001
104,10.1001/jama.1895.02430090001001
105,10.1001/jama.1895.02430100006001
106,10.1001/jama.1895.02430160009002
